,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NB: 2024-25 Figures are a mixture of Billed and Forecast Model data.,,,
, 2010-11 ,,,,2011-12,,,,2012-13,,,,2013-14,,,,2014-15,,,,2015-16,,,,2016-17,,,,2017-18,,,,2018-19,,,,2019-20,,,,2020-21,,,,2021-22,,,,2022-23,,,,2023-24,,,,2024-25,,,
Site,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e
Adult Training Centre - Aspire - Bramley Fulfilling Lives," 99,469 "," 71,388 "," 28,081 "," 47,339 "," 103,812 "," 76,668 "," 27,144 "," 47,145 "," 94,552 "," 69,554 "," 24,998 "," 43,132 "," 97,125 "," 68,820 "," 28,305 "," 44,648 "," 95,690 "," 69,065 "," 26,625 "," 46,442 "," 94,200 "," 60,142 "," 34,058 "," 41,831 "," 78,686 "," 54,849 "," 23,837 "," 30,981 "," 95,889 "," 68,511 "," 27,378 "," 31,836 "," 97,120 "," 72,458 "," 24,662 "," 26,814 "," 90,712 "," 65,932 "," 24,780 "," 22,629 "," 80,757 "," 58,155 "," 22,602 "," 18,357 "," 85,077 "," 61,819 "," 23,258 "," 17,624 "," 88,271 "," 60,390 "," 27,881 "," 17,452 "," 79,112 "," 57,206 "," 21,906 "," 16,382 "," 90,011 "," 61,572 "," 28,440 "," 18,637 "
Adult Training Centre - Ramshead Wood Day and Adult Training Centre," 92,156 "," 69,256 "," 22,900 "," 43,963 "," 98,736 "," 75,874 "," 22,862 "," 44,816 "," 89,960 "," 68,358 "," 21,602 "," 41,069 "," 89,477 "," 66,461 "," 23,016 "," 40,983 "," 80,595 "," 59,916 "," 20,679 "," 39,172 "," 69,305 "," 47,561 "," 21,744 "," 30,942 "," 70,505 "," 49,063 "," 21,442 "," 27,755 "," 60,160 "," 57,055 "," 3,105 "," 20,937 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Adult Training Centre - Rothwell Fulfilling Lives, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 21,926 "," 1,412 "," 20,514 "," 10,179 "," 48,392 "," 30,921 "," 17,471 "," 21,490 "," 79,906 "," 51,581 "," 28,325 "," 31,212 "," 68,748 "," 50,654 "," 18,093 "," 22,930 "," 70,204 "," 52,365 "," 17,838 "," 19,383 "," 68,475 "," 51,903 "," 16,573 "," 17,130 "," 61,925 "," 45,282 "," 16,643 "," 14,091 "," 62,493 "," 45,967 "," 16,526 "," 12,956 "," 69,982 "," 52,127 "," 17,855 "," 13,778 "," 72,492 "," 53,624 "," 18,868 "," 15,011 "," 72,693 "," 55,045 "," 17,648 "," 15,051 "
Air Pollution Cabinet - Abbey Road," 5,897 "," 4,572 "," 1,325 "," 2,818 "," 14,742 "," 14,742 ", -   ," 6,664 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,583 ", 490 ," 1,093 ", 677 ," 1,434 ", 760 , 674 , 550 ," 1,500 "," 1,061 ", 438 , 497 ," 1,498 "," 1,075 ", 423 , 412 ," 1,536 "," 1,107 ", 430 , 383 ," 1,419 ", 962 , 457 , 321 ," 1,474 "," 1,037 ", 437 , 305 ," 1,482 "," 1,036 ", 446 , 293 ," 1,476 "," 1,036 ", 440 , 306 ," 6,200 "," 4,425 "," 1,775 "," 1,284 "
Air Pollution Cabinet - Haslewood Close, 713 , 357 , 356 , 334 , 68 , 59 , 9 , 31 , 27 , 18 , 9 , 12 ," 1,073 ", 21 ," 1,052 ", 529 ," 3,307 "," 2,397 ", 910 ," 1,605 "," 3,880 "," 2,915 ", 965 ," 1,745 "," 1,475 "," 1,131 ", 345 , 587 , 767 , 543 , 224 , 254 , 326 , 326 , -   , 92 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Air Pollution Cabinet - outside 12 Tilbury Terrace, -   , -   , -   , -   ," 1,102 ", -   ," 1,102 ", 507 ," 3,067 "," 1,581 "," 1,486 "," 1,389 "," 2,924 "," 1,864 "," 1,060 "," 1,354 "," 2,297 "," 1,397 ", 900 ," 1,106 "," 2,428 "," 1,824 ", 604 ," 1,092 "," 2,261 "," 1,127 "," 1,134 ", 863 ," 2,454 "," 1,717 ", 738 , 812 ," 2,426 "," 1,723 ", 703 , 667 ," 2,407 "," 1,689 ", 719 , 599 ," 2,276 "," 1,510 ", 766 , 515 ," 2,369 "," 1,646 ", 723 , 489 ," 2,388 "," 1,647 ", 741 , 472 ," 2,365 "," 1,646 ", 719 , 490 ," 7,099 "," 5,021 "," 2,078 "," 1,470 "
Air Pollution Cabinet - Queens Court," 3,461 "," 2,668 ", 793 ," 1,653 "," 3,172 "," 2,163 "," 1,009 "," 1,442 "," 2,873 "," 2,012 ", 861 ," 1,309 "," 2,230 "," 1,372 ", 858 ," 1,035 "," 3,084 "," 1,937 "," 1,147 "," 1,488 "," 3,044 "," 2,287 ", 757 ," 1,369 "," 2,835 "," 1,412 "," 1,423 "," 1,082 "," 3,076 "," 2,151 ", 926 ," 1,018 "," 3,041 "," 2,160 ", 882 , 837 ," 2,988 "," 2,087 ", 901 , 743 ," 2,852 "," 1,891 ", 961 , 645 ," 2,965 "," 2,059 ", 906 , 612 ," 2,993 "," 2,064 ", 929 , 592 ," 2,962 "," 2,061 ", 901 , 613 ," 7,407 "," 5,214 "," 2,193 "," 1,534 "
Air Pollution Monitoring Station - adjacent 1 Woodside Terrace, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 398 , 100 , 298 , 187 ," 3,179 "," 2,349 ", 830 ," 1,428 "," 3,844 "," 2,392 "," 1,453 "," 1,496 "," 3,895 "," 3,126 ", 769 ," 1,317 "," 3,825 "," 2,757 "," 1,068 "," 1,053 "," 3,859 "," 2,773 "," 1,085 ", 962 ," 3,586 "," 2,432 "," 1,154 ", 812 ," 1,503 "," 1,459 ", 44 , 318 , 630 , 100 , 530 , 129 ," 2,004 "," 1,387 ", 617 , 415 ," 2,273 "," 1,512 ", 761 , 471 
