,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NB: 2025/26 are interim figures,,,
,2010-11,,,,2011-12,,,,2012-13,,,,2013-14,,,,2014-15,,,,2015-16,,,,2016-17,,,,2017-18,,,,2018-19,,,,2019-20,,,,2020-21,,,,2021-22,,,,2022-23,,,,2023-24,,,,2024-25,,,,2025-26,,,
Site,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e
Adult Training Centre - Aspire - Bramley Fulfilling Lives,"99,469","71,388","28,081","47,339","103,812","76,668","27,144","47,145","94,552","69,554","24,998","43,132","97,125","68,820","28,305","44,648","95,690","69,065","26,625","46,442","94,200","60,142","34,058","41,831","78,686","54,849","23,837","30,981","95,889","68,511","27,378","31,836","97,120","72,458","24,662","26,814","90,712","65,932","24,780","22,629","80,757","58,155","22,602","18,357","85,077","61,819","23,258","17,624","88,271","60,390","27,881","17,452","79,112","57,206","21,906","16,382","91,580","61,572","30,009","18,060",86300.38848,69261.1,17039.28848,15275.16876
Adult Training Centre - Ramshead Wood Day and Adult Training Centre,"92,156","69,256","22,900","43,963","98,736","75,874","22,862","44,816","89,960","68,358","21,602","41,069","89,477","66,461","23,016","40,983","80,595","59,916","20,679","39,172","69,305","47,561","21,744","30,942","70,505","49,063","21,442","27,755","60,160","57,055","3,105","20,937",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Training Centre - Rothwell Fulfilling Lives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"21,926","1,412","20,514","10,179","48,392","30,921","17,471","21,490","79,906","51,581","28,325","31,212","68,748","50,654","18,093","22,930","70,204","52,365","17,838","19,383","68,475","51,903","16,573","17,130","61,925","45,282","16,643","14,091","62,493","45,967","16,526","12,956","69,982","52,127","17,855","13,778","72,492","53,624","18,868","15,011","71,718","55,045","16,673","14,348",65871,47820,18051,11659.167
Air Pollution Cabinet - Abbey Road,"5,897","4,572","1,325","2,818","14,742","14,742",0,"6,664",0,0,0,0,0,0,0,0,0,0,0,0,"1,583",490,"1,093",676.84375,"1,434",760.4,673.8,550.203948,"1,500","1,061",438.4,497.17336,"1,498","1,075",422.6,412.288503,"1,536","1,107",429.5,383.05727,"1,419",962.2,457,321.362118,"1,474","1,037",437,304.69327,"1,482","1,036",446,292.6968127,"1,476","1,036",440,305.630963,411,411,0,85,3438,604,2834,608.526
Air Pollution Cabinet - Haslewood Close,713,357,356,334.18547,68,59,9,30.81113,27,18,9,12.28968,"1,073",21,"1,052",529.3166,"3,307","2,397",910,"1,605","3,880","2,915",965,"1,745","1,475","1,131",344.5,587.099765,766.9,542.7,224.2,254.255906,325.5,325.5,0,92.139285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Air Pollution Cabinet - outside 12 Tilbury Terrace,0,0,0,0,"1,102",0,"1,102",506.94204,"3,067","1,581","1,486","1,389","2,924","1,864","1,060","1,354","2,297","1,397",900,"1,106","2,428","1,824",604,"1,092","2,261","1,127","1,134",863.119702,"2,454","1,717",737.5,812.287177,"2,426","1,723",702.9,667.447464,"2,407","1,689",718.5,599.16837,"2,276","1,510",766,514.779436,"2,369","1,646",723,489.30892,"2,388","1,647",741,471.9389078,"2,365","1,646",719,489.713229,21,17,4,4,5,5,0,0.885
Air Pollution Cabinet - Queens Court,"3,461","2,668",793,"1,653","3,172","2,163","1,009","1,442","2,873","2,012",861,"1,309","2,230","1,372",858,"1,035","3,084","1,937","1,147","1,488","3,044","2,287",757,"1,369","2,835","1,412","1,423","1,082","3,076","2,151",925.5,"1,018","3,041","2,160",881.7,836.652185,"2,988","2,087",901.1,743.468534,"2,852","1,891",961,645.010126,"2,965","2,059",906,612.38975,"2,993","2,064",929,591.5083341,"2,962","2,061",901,613.3321588,"3,101","2,149",952,613,9705,5212,4493,1717.785
Air Pollution Monitoring Station - adjacent 1 Woodside Terrace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398,100,298,187.15862,"3,179","2,349",830,"1,428","3,844","2,392","1,453","1,496","3,895","3,126",768.7,"1,317","3,825","2,757","1,068","1,053","3,859","2,773","1,085",961.861254,"3,586","2,432","1,154",812.0253,"1,503","1,459",44,318.29819,630,100,530,129.087373,"2,004","1,387",617,414.9618883,"2,124","1,512",612,421.3836,2127,1528,599,376.479
