,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NB: 2025/26 are interim figures,,,
,2010-11,,,,2011-12,,,,2012-13,,,,2013-14,,,,2014-15,,,,2015-16,,,,2016-17,,,,2017-18,,,,2018-19,,,,2019-20,,,,2020-21,,,,2021-22,,,,2022-23,,,,2023-24,,,,2024-25,,,,2025-26,,,
Site,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e
Adult Training Centre - Aspire - Bramley Fulfilling Lives,0,0,0,0,0,0,0,0,0,0,0,0,"554,840","321,123","233,717","102,331","517,694","313,286","204,408","95,652","513,362","328,263","185,099","94,606","384,390","213,782","170,607","70,755","437,614","229,218","208,396","80,550","403,693","240,465","163,229","74,190","507,158","318,243","188,916","93,137","524,363","328,473","195,890","96,276","491,496","299,274","192,222","89,903","524,707","354,769","169,939","95,846","480,286","297,020","183,266","87,853","428,039","276,203","151,836","78,298",321861.01,179362.35,142498.66,58887.69039
Adult Training Centre - Ramshead Wood Day and Adult Training Centre,"515,668","318,203","197,465","95,383","414,500","251,551","162,949","76,709","540,633","359,578","181,055","99,919","191,659","136,548","55,111","35,324","325,886","243,400","82,486","60,237","171,403","62,459","108,944","31,566","115,728","73,584","42,144","21,301",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Training Centre - Rothwell Fulfilling Lives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"49,041","64,944","-15,903","9,080","196,168","105,111","91,058","36,142","204,176","135,985","68,191","37,579","232,977","110,071","122,906","42,881","169,437","105,138","64,299","31,141","208,018","126,059","81,959","38,203","169,187","94,246","74,941","31,055","238,950","148,783","90,167","43,710","220,864","129,270","91,594","40,352","232,829","139,137","93,693","42,588","248,719","150,480","98,239","45,497",235696.52,147276.7,88419.82,43123.0353
ARCHIVE - Adult Training Centre - Bewerley Croft Hostel and Adult Centre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIVE - Adult Training Centre - Horsforth,0,0,0,0,0,0,0,0,0,0,0,0,3.11,0,3.11,0.575266039,"39,905","39,905",0,"7,381",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIVE - Adult Training Centre - Leeds Transitional Learning Centre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIVE - Adult Training Centre - Moor End Day and Adult Centre,"36,427",0,"36,427","6,738","16,955","408,421","-391,466","3,042","-14,370","-14,377",7.15,"-2,661",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIVE - Adult Training Centre - Rothwell,"596,942","388,839","208,103","110,416","583,692","369,370","214,322","108,017","353,487","237,834","115,653","65,334","-150,146","-150,146",0,"-27,633",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
