Organisation Code,Organisation Label,Effective Date,Organisational Unit,Service Division Label,Category Internal Name,Purpose,Detailed Expenditure Code,Payment Date,Transaction Number,Irrecoverable VAT Amount,Amount,Capital Or Revenue,Beneficiary Name,Procurement Card
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,28/02/2026,Strategy & Resources,Leeds Building Services,Supplies & Services?,Direct Materials,22007,12/02/2026,2602-00001,0.00,189.50,R,A & A ELECTRICAL DISTRIBUTORS LTD,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,28/02/2026,Children & Families,Social Care,Supplies & Services?,Consultancy Services,25059,18/02/2026,2602-00002,0.00,2612.50,R,A & F Lloyd Training,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,28/02/2026,Strategy & Resources,Leeds Building Services,Supplies & Services?,Other Hired & Contracted Services - Connect,25069,06/02/2026,2602-00003,0.00,1681.00,R,A Coole Electrical Ltd,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,28/02/2026,Strategy & Resources,Leeds Building Services,Supplies & Services?,Other Hired & Contracted Services - Connect,25069,06/02/2026,2602-00004,0.00,4407.00,R,A Coole Electrical Ltd,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,28/02/2026,Strategy & Resources,Leeds Building Services,Supplies & Services?,Other Hired & Contracted Services - Connect,25069,13/02/2026,2602-00005,0.00,2912.00,R,A Coole Electrical Ltd,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,28/02/2026,Strategy & Resources,Leeds Building Services,Supplies & Services?,Other Hired & Contracted Services - Connect,25069,19/02/2026,2602-00006,0.00,4962.00,R,A Coole Electrical Ltd,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,28/02/2026,Strategy & Resources,Leeds Building Services,Supplies & Services?,Other Hired & Contracted Services - Connect,25069,19/02/2026,2602-00007,0.00,625.00,R,A Coole Electrical Ltd,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,28/02/2026,Strategy & Resources,Leeds Building Services,Supplies & Services?,Other Hired & Contracted Services - Connect,25069,20/02/2026,2602-00008,0.00,2915.00,R,A Coole Electrical Ltd,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,28/02/2026,Strategy & Resources,Leeds Building Services,Supplies & Services?,Other Hired & Contracted Services - Connect,25069,20/02/2026,2602-00009,0.00,6249.00,R,A Coole Electrical Ltd,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,28/02/2026,Strategy & Resources,Leeds Building Services,Supplies & Services?,Other Hired & Contracted Services - Connect,25069,27/02/2026,2602-00010,0.00,1641.00,R,A Coole Electrical Ltd,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,28/02/2026,Strategy & Resources,Leeds Building Services,Supplies & Services?,Other Hired & Contracted Services - Connect,25069,27/02/2026,2602-00011,0.00,14753.00,R,A Coole Electrical Ltd,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,28/02/2026,Strategy & Resources,Leeds Building Services,Supplies & Services?,Other Hired & Contracted Services - Connect,25069,27/02/2026,2602-00012,0.00,115.05,R,A Coole Electrical Ltd,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,28/02/2026,Children & Families,Social Care,Third Party Payments?,Semi-Supported Independent Living,52020,12/02/2026,2602-00013,0.00,8485.71,R,A Higher Path Ltd,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,28/02/2026,Children & Families,Social Care,Third Party Payments?,Semi-Supported Independent Living,52020,27/02/2026,2602-00014,0.00,4871.42,R,A Higher Path Ltd,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,28/02/2026,Communities  Housing & Environment,Safer Stronger Communities,Supplies & Services?,Other Hired & Contracted Services,25065,13/02/2026,2602-00015,0.00,3864.00,R,A Little Something Extra Ltd,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,28/02/2026,Children & Families,Social Care,Third Party Payments?,Service Provision - Other External Providers,52004,24/02/2026,2602-00016,0.00,368.00,R,A Little Something Extra Ltd,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,28/02/2026,Communities  Housing & Environment,Customer Access,Supplies & Services?,Bought in Professional Services,25077,04/02/2026,2602-00017,0.00,60.00,R,A NAMAKI,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,28/02/2026,Communities  Housing & Environment,Customer Access,Supplies & Services?,Bought in Professional Services,25077,04/02/2026,2602-00018,0.00,70.00,R,A NAMAKI,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,28/02/2026,Communities  Housing & Environment,Customer Access,Supplies & Services?,Bought in Professional Services,25077,04/02/2026,2602-00019,0.00,50.00,R,A NAMAKI,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,28/02/2026,Communities  Housing & Environment,Customer Access,Supplies & Services?,Bought in Professional Services,25077,04/02/2026,2602-00020,0.00,20.00,R,A NAMAKI,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,28/02/2026,Communities  Housing & Environment,Customer Access,Supplies & Services?,Bought in Professional Services,25077,04/02/2026,2602-00021,0.00,20.00,R,A NAMAKI,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,28/02/2026,Communities  Housing & Environment,Customer Access,Supplies & Services?,Bought in Professional Services,25077,04/02/2026,2602-00022,0.00,50.00,R,A NAMAKI,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,28/02/2026,Communities  Housing & Environment,Customer Access,Supplies & Services?,Bought in Professional Services,25077,04/02/2026,2602-00023,0.00,20.00,R,A NAMAKI,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,28/02/2026,Communities  Housing & Environment,Customer Access,Supplies & Services?,Bought in Professional Services,25077,04/02/2026,2602-00024,0.00,20.00,R,A NAMAKI,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,28/02/2026,Communities  Housing & Environment,Customer Access,Supplies & Services?,Bought in Professional Services,25077,04/02/2026,2602-00025,0.00,80.00,R,A NAMAKI,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,28/02/2026,Communities  Housing & Environment,Customer Access,Supplies & Services?,Bought in Professional Services,25077,04/02/2026,2602-00026,0.00,70.00,R,A NAMAKI,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,28/02/2026,Communities  Housing & Environment,Customer Access,Supplies & Services?,Bought in Professional Services,25077,04/02/2026,2602-00027,0.00,70.00,R,A NAMAKI,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,28/02/2026,Communities  Housing & Environment,Customer Access,Supplies & Services?,Bought in Professional Services,25077,04/02/2026,2602-00028,0.00,30.00,R,A NAMAKI,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,28/02/2026,Communities  Housing & Environment,Customer Access,Supplies & Services?,Bought in Professional Services,25077,11/02/2026,2602-00029,0.00,70.00,R,A NAMAKI,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,28/02/2026,Communities  Housing & Environment,Customer Access,Supplies & Services?,Bought in Professional Services,25077,11/02/2026,2602-00030,0.00,50.00,R,A NAMAKI,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,28/02/2026,Communities  Housing & Environment,Customer Access,Supplies & Services?,Bought in Professional Services,25077,11/02/2026,2602-00031,0.00,50.00,R,A NAMAKI,No
