Organisation Code,Organisation Label,Effective Date,Organisational Unit,Service Division Label,Category Internal Name,Purpose,Detailed Expenditure Code,Payment Date,Transaction Number,Irrecoverable VAT Amount,Amount,Capital Or Revenue,Beneficiary Name,Procurement Card
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,31/03/2026,Strategy & Resources,Leeds Building Services,Supplies & Services?,Direct Materials,22007,23/03/2026,2603-00001,0.00,151.60,R,A & A ELECTRICAL DISTRIBUTORS LTD,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,31/03/2026,Children & Families,Social Care,Third Party Payments?,General External Residential Placements,52001,04/03/2026,2603-00002,0.00,5258.90,R,A & V TRANSITIONAL HOMES LTD,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,31/03/2026,Children & Families,Social Care,Third Party Payments?,Semi-Supported Independent Living,52020,04/03/2026,2603-00003,0.00,5258.90,R,A & V TRANSITIONAL HOMES LTD,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,31/03/2026,Children & Families,Social Care,Third Party Payments?,Semi-Supported Independent Living,52020,04/03/2026,2603-00004,0.00,5258.90,R,A & V TRANSITIONAL HOMES LTD,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,31/03/2026,Strategy & Resources,Leeds Building Services,Supplies & Services?,Other Hired & Contracted Services - Connect,25069,13/03/2026,2603-00005,0.00,1926.00,R,A Coole Electrical Ltd,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,31/03/2026,Strategy & Resources,Leeds Building Services,Supplies & Services?,Other Hired & Contracted Services - Connect,25069,19/03/2026,2603-00006,0.00,3990.00,R,A Coole Electrical Ltd,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,31/03/2026,Strategy & Resources,Leeds Building Services,Supplies & Services?,Other Hired & Contracted Services - Connect,25069,25/03/2026,2603-00007,0.00,1596.00,R,A Coole Electrical Ltd,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,31/03/2026,Strategy & Resources,Leeds Building Services,Supplies & Services?,Other Hired & Contracted Services - Connect,25069,27/03/2026,2603-00008,0.00,1040.00,R,A Coole Electrical Ltd,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,31/03/2026,Strategy & Resources,Leeds Building Services,Supplies & Services?,Other Hired & Contracted Services - Connect,25069,27/03/2026,2603-00009,0.00,137.80,R,A Coole Electrical Ltd,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,31/03/2026,Children & Families,Social Care,Third Party Payments?,Allowances - Clothing,52042,10/03/2026,2603-00010,0.00,150.00,R,A Higher Path Ltd,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,31/03/2026,Children & Families,Social Care,Transfer Payments & Transfers to Reserves?,Leaving Care Allowances,63034,10/03/2026,2603-00011,0.00,493.60,R,A Higher Path Ltd,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,31/03/2026,Children & Families,Social Care,Third Party Payments?,Semi-Supported Independent Living,52020,27/03/2026,2603-00012,0.00,4400.00,R,A Higher Path Ltd,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,31/03/2026,Strategy & Resources,Leeds Building Services,Supplies & Services?,Direct Materials,22007,26/03/2026,2603-00013,0.00,2140.00,R,A J H  Pump Supply & Repair Ltd,No
